schooldbn,locationname,final_address,borough,district,prek_type,phone,contact_name,contact_email,website,meals,play,income_flg,uniforms,singlegender,programname1,programname2,programname3,programcode1,programcode2,programcode3,nyceec_current_all,nyceec_current_some,nyceec_current_none,nyceec_siblings_all,nyceec_siblings_some,nyceec_siblings_none,nyceec_services_all,nyceec_services_some,nyceec_services_none,nyceec_targetlang_all,nyceec_targetlang_some,nyceec_targetlang_none,nyceec_others_all,nyceec_others_some,nyceec_others_none,district_zonedsib_all,district_zonedsib_some,district_zonedsib_none,district_otherzone_all,district_otherzone_some,district_otherzone_none,district_districtsibs_all,district_districtsibs_some,district_districtsibs_none,district_outdissibs_all,district_outdissibs_some,district_outdissibs_none,district_indistrict_all,district_indistrict_some,district_indistrict_none,district_outdistrict_all,district_outdistrict_some,district_outdistrict_none,pkc_indistrict_all,pkc_indistrict_some,pkc_indistrict_none,pkc_outdistrict_all,pkc_outdistrict_some,pkc_outdistrict_none,lpga,halfday_offers,bus,subway_stop,rezoning,specialpriority,magnet,diversity,earlydropoff,latepickup,flexschedule,iepnote,enhancedlang_note,accessibility,seats,hours,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
01M142,P.S. 142 Amalia Castro,"100 Attorney Street, Manhattan NY 10002",Manhattan,1,District School,212-598-3800,Jackie Munoz,jmunoz8@schools.nyc.gov,ps142m.org,Breakfast/Lunch,Indoor/Outdoor (Onsite) Playspace,,No,,Full-Day Program,,,01M142FDPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Last year, this program admitted students from all priority groups.",,"B39, M14A, M14D, M15, M15-SBS, M21, M22, M9",B D F J M Z,,District 1 is a choice district,,This school is part of the District 1 Diversity in Admissions pilot. Please see section 4.7 for more information,7:45am,5:30pm,,,,Partially Accessible,36 Full-Day,8:20am-2:40pm,10002,40.718383,-73.984452,3,1,1402,1004080,1003430001,Lower East Side                                                            
01M184,P.S. 184 Shuang Wen,"327 Cherry Street, Manhattan NY 10002",Manhattan,1,District School,212-602-9700,Alice Ju Mccabe,MJu2@schools.nyc.gov,ps184m.org,Breakfast/Lunch,Indoor/Outdoor (Onsite) Playspace,,Yes,,Full-Day Program,,,01M184FDPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Last year, this program admitted siblings of current students, and some other in-district students.",,"M14A, M14D, M15, M15-SBS, M21, M22, M9, X14, X37, X38",F J M Z,,District 1 is a choice district,,This school is part of the District 1 Diversity in Admissions pilot. Please see section 4.7 for more information,7:30am,5:30pm,,,,Partially Accessible,36 Full-Day,8:20am-2:40pm,10002,40.711549,-73.986542,3,1,201,1003143,1002450007,Lower East Side                                                            
01M188,P.S. 188 The Island School,"442 East Houston Street, Manhattan NY 10002",Manhattan,1,District School,212-677-5710,Suany Ramos,SRamos4@schools.nyc.gov,schools.nyc.gov/schoolportals/01/m188,Breakfast/Lunch/Snack(s),Indoor/Outdoor (Onsite) Playspace,,Contact program,,Full-Day Program,Spanish Dual Language Program,,01M188FDPK,01M188FDPKSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Last year, this program admitted students from all priority groups.",,"M14A, M14D, M21, M22, M8, M9",,,District 1 is a choice district,,This school is part of the District 1 Diversity in Admissions pilot. Please see section 4.7 for more information,,Contact program for time,,,,Fully Accessible,36 Full-Day,Contact program,10002,40.719598,-73.977904,3,2,20,1004349,1003560100,Lower East Side                                                            
01M315,The East Village Community School,"610 East 12th Street, Manhattan NY 10009",Manhattan,1,District School,212-982-0682,Bradley Goodman,BGoodma4@schools.nyc.gov,evcsnyc.org,Breakfast/Lunch,Indoor/Outdoor (Onsite) Playspace,,Contact program,,Full-Day Program,,,01M315FDPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Last year, this program admitted siblings of current students, and some other in-district students.",,"M14A, M14D, M15, M15-SBS, M21, M23, M8, M9, X14, X2, X42, X5",L,,District 1 is a choice district,,This school is part of the District 1 Diversity in Admissions pilot. Please see section 4.7 for more information,Contact program for time,Contact program for time,,,,Not Accessible,36 Full-Day,Contact program,10009,40.727892,-73.978525,3,2,28,1079053,1003940012,Lower East Side                                                            
01M361,The Children's Workshop School,"610 East 12th Street, Manhattan NY 10009",Manhattan,1,District School,212-614-9531,Maria Velez Clarke,mvelez4@schools.nyc.gov,schools.nyc.gov/schoolportals/01/m361,Breakfast/Lunch,Indoor/Outdoor (Onsite) Playspace,,No,,Full-Day Program,,,01M361FDPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Last year, this program admitted siblings of current students, and some other in-district students.",,"M14A, M14D, M15, M15-SBS, M21, M23, M8, M9, X14, X2, X42, X5",L,,District 1 is a choice district,,This school is part of the District 1 Diversity in Admissions pilot. Please see section 4.7 for more information,,,,,,Not Accessible,36 Full-Day,8:40am-3pm,10009,40.727892,-73.978525,3,2,28,1079053,1003940012,Lower East Side                                                            
01M363,Neighborhood School,"121 East 3rd Street, Manhattan NY 10009",Manhattan,1,District School,212-387-0195,Noemi Mora,NMora@schools.nyc.gov,tnsny.org,Breakfast/Lunch,Indoor/Outdoor (Onsite) Playspace,,No,,Full-Day Program,,,01M363FDPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Last year, this program admitted siblings of current students, and some other in-district students.",,"B39, M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M21, M3, M8, M9",4 6 B D F J L M Z,,District 1 is a choice district,,This school is part of the District 1 Diversity in Admissions pilot. Please see section 4.7 for more information,7:45am,6pm,,,,Not Accessible,18 Full-Day,8:25am-2:45pm,10009,40.724117,-73.986381,3,2,32,1005760,1004310014,East Village                                                               
01M364,Earth School,"600 East 6th Street, Manhattan NY 10009",Manhattan,1,District School,212-477-1735,Abbe Futterman,afutterman2@schools.nyc.gov,theearthschool.org,Breakfast/Lunch,Indoor/Outdoor (Onsite) Playspace,,No,,Full-Day Program,,,01M364FDPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Last year, this program admitted siblings of current students, and some other in-district students.",,"M14A, M14D, M15, M15-SBS, M21, M8, M9",F J L M Z,,District 1 is a choice district,,This school is part of the District 1 Diversity in Admissions pilot. Please see section 4.7 for more information,7:45am,6pm,,,,Not Accessible,36 Full-Day,8:30am-2:50pm,10009,40.72438,-73.98138,3,2,2601,1004627,1003870001,Lower East Side                                                            
01MAED,Immaculate Conception School,"419 East 13th Street, Manhattan NY 10009",Manhattan,1,NYCEEC,212-475-1529,Kaitlyn Bozzello,k.bozzello@immaculateconceptionschoolnyc.org,immaculateconceptionschoolnyc.org,Contact program,Contact program,,Contact program,,Full-Day Program,,,01MAEDFDPK,,,x,,,x,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M23, M3, M8, M9",4 5 6 L N Q R,,,,,Contact program for time,Contact program for time,,,,Contact program,40 Full-Day,Contact program,10009,40.730402,-73.982447,3,2,34,1079097,1004410010,East Village                                                               
01MAGR,Saint Brigid School,"185 East 7th Street, Manhattan NY 10009",Manhattan,1,NYCEEC,212-677-5210,Molly Carone,jdelucia@stbrigidschoolny.com,stbrigidschoolny.com,Breakfast/Lunch/Snack(s),Indoor/Outdoor (Onsite) Playspace,,No,,Full-Day Program,,,01MAGRFDPK,,,x,,,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M14A, M14D, M15, M15-SBS, M21, M8, M9",F L,,,,,7:50am,5:50pm,,,,Contact program,40 Full-Day,8:30am-2:50pm,10009,40.724849,-73.980659,3,2,2602,1004703,1003900001,Lower East Side                                                            
02MAQG,Gramercy School,"460 West 34th Street, Manhattan NY 10001",Manhattan,2,NYCEEC,212-420-0510,Danielle Tischenkel,dsavino@nylel.org,,Breakfast/Lunch/Snack(s),Indoor/Outdoor (Offsite) Playspace,,Contact program,,Full-Day Program,,,02MAQGFDPK,,,x,,,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M104, M11, M12, M20, M34A-SBS, M34-SBS, M42",1 2 3 A C E,,,,,,,,,,Contact program,8 Full-Day,Contact program,10001,40.754329,-73.998578,4,3,103,1012843,1007310001,Hudson Yards-Chelsea-Flatiron-Union Square                                 
01MAOZ,Educational Alliance - Lillian Wald,"34 Avenue D, Manhattan NY 10009",Manhattan,1,NYCEEC,646-395-4218,Maribel O'Connell,JBattaglia@edalliance.org,edalliance.org,Breakfast/Lunch/Snack(s),Indoor/Outdoor (Onsite) Playspace,May have income or other eligibility requirements. Contact for more information.,No,,Full-Day Program,,,01MAOZFDPK,,,x,,,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M14A, M14D, M21, M8, M9",,,,,,,6pm,,,,Contact program,20 Full-Day,Contact program,10009,40.721351,-73.977723,3,2,20,1078048,1003560001,Lower East Side                                                            
01MAQA,Virginia Day Nursery,"464 East 10th Street, Manhattan NY 10009",Manhattan,1,NYCEEC,212-228-5220,Shayna Williams,shwilliams@shelteringarmsny.org,shelteringarmsny.org,Breakfast/Lunch/Snack(s),Indoor/Outdoor (Onsite) Playspace,May have income or other eligibility requirements. Contact for more information.,No,,Full-Day Program,,,01MAQAFDPK,,,x,,,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M14A, M14D, M21, M8, M9",,,,,,8am,4:30pm,May utilize flexible scheduling policy. Contact for more information.,,,Contact program,18 Full-Day,Contact program,10009,40.724601,-73.97454,3,2,24,1077538,1003620010,Lower East Side                                                            
01MASU,Hamilton Madison House EarlyLearn Center 5,"253 South Street, Manhattan NY 10002",Manhattan,1,NYCEEC,212-962-3408,Helen Fung,annettesanches@hmhonline.org,,Breakfast/Lunch/Snack(s),Outdoor (Onsite) Playspace,May have income or other eligibility requirements. Contact for more information.,Contact program,,Full-Day Program,,,01MASUFDPK,,,x,,,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B25, M103, M14A, M15, M15-SBS, M22, M9",F,,,,,,,,,,Contact program,36 Full-Day,Contact program,10002,40.710001,-73.990553,3,1,6,1085945,1002480015,Lower East Side                                                            
01MATK,Bank Street Head Start,"535 East 5th Street, Manhattan NY 10009",Manhattan,1,NYCEEC,212-353-2532,Erin Atkinson,santonelli@bankstreet.edu,bankstreet.edu/head-start/,Breakfast/Lunch/Snack(s),Outdoor (Offsite) Playspace,May have income or other eligibility requirements. Contact for more information.,No,,Full-Day Program,,,01MATKFDPK,,,x,,,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B39, M103, M14A, M14D, M15, M15-SBS, M21, M8, M9",F J L M Z,,,,,,5:30pm,,,,Contact program,40 Full-Day,Contact program,10009,40.724484,-73.983487,3,2,32,1087322,1004010046,East Village                                                               
01MATO,Dewitt Reformed Church Head Start,"280 Rivington Street, Manhattan NY 10002",Manhattan,1,NYCEEC,212-254-3070,Betsy Soto,mybln@yahoo.com,,Breakfast/Lunch/Snack(s),Outdoor (Offsite) Playspace,May have income or other eligibility requirements. Contact for more information.,Contact program,,Full-Day Program,,,01MATOFDPK,,,x,,,x,,,x,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B39, M14A, M14D, M21, M22, M9",F J M Z,,,,,,,,,Enhanced Language Support: Spanish,Contact program,47 Full-Day,Contact program,10002,40.717468,-73.979726,3,2,1002,1004060,1003230073,Lower East Side                                                            
01MATQ,Escuela Hispana Montessori 2,"180 Suffolk Street, Manhattan NY 10002",Manhattan,1,NYCEEC,212-982-6650,Lyle Walford,lylewalford12@gmail.com,escuelahispanaelc.com,Breakfast/Lunch/Snack(s),Indoor/Outdoor (Onsite) Playspace,May have income or other eligibility requirements. Contact for more information.,No,,Full-Day Program,,,01MATQFDPK,,,x,,,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B39, M103, M14A, M14D, M15, M15-SBS, M21, M8, M9",F J M Z,,,,,8am,6pm,May utilize flexible scheduling policy. Contact for more information.,,,Contact program,40 Full-Day,Contact program,10002,40.721067,-73.98501,3,2,3001,1004240,1003500008,Chinatown                                                                  
01MATU,Grand St Settlement Head Start Center,"294 Delancey Street, Manhattan NY 10002",Manhattan,1,NYCEEC,212-777-0656,Danielle Bryant,wchin-ma@grandsettlement.org,grandsettlement.org,Breakfast/Lunch/Snack(s),Indoor/Outdoor (Onsite) Playspace,May have income or other eligibility requirements. Contact for more information.,No,,Full-Day Program,,,01MATUFDPK,,,x,,,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M14A, M14D, M21, M22, M9",F J M Z,,,,,,,,,,Contact program,36 Full-Day,Contact program,10002,40.715824,-73.979547,3,2,1002,1078038,1003230001,Lower East Side                                                            
01MAUB,University Settlement ECC,"184 Eldridge Street, Manhattan NY 10002",Manhattan,1,NYCEEC,212-453-4545,Alison Leong,lrivera@universitysettlement.org,universitysettlement.org,Breakfast/Lunch/Snack(s),Indoor/Outdoor (Offsite) Playspace,May have income or other eligibility requirements. Contact for more information.,No,,Full-Day Program,,,01MAUBFDPK,,,x,,,x,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B39, M103, M14A, M15, M15-SBS, M21, M5, M9",4 6 B D F J M N R Z,,,,,8am,6pm,,,,Contact program,70 Full-Day,9am-3:20pm,10002,40.720653,-73.990674,3,1,18,1005483,1004150018,Chinatown                                                                  
01MAUC,Grand St Settlement,"300 Delancey Street, Manhattan NY 10002",Manhattan,1,NYCEEC,212-228-8240,Julienne Elsayed,jelsayed@grandsettlement.org,grandsettlement.org,Breakfast/Lunch/Snack(s),Outdoor (Onsite) Playspace,May have income or other eligibility requirements. Contact for more information.,No,,Full-Day Program,,,01MAUCFDPK,,,x,,,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M14A, M14D, M21, M22, M9",F J M Z,,,,,,,,,,Contact program,18 Full-Day,Contact program,10002,40.715758,-73.979334,3,2,1002,1078037,1003230001,Lower East Side                                                            
01MAUE,CPC Jacob Riis Child Care Center,"108 Avenue D, Manhattan NY 10009",Manhattan,1,NYCEEC,212-533-9138,Yvette Ho,yho@cpc-nyc.org,https://cpc-nyc.org/programs/early-childhood-services/jacob-riis-early-childhood-center,Contact program,Outdoor (Onsite) Playspace,May have income or other eligibility requirements. Contact for more information.,No,,Full-Day Program,,,01MAUEFDPK,,,x,,,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M14A, M14D, M21, M8, M9",,,,,,,5:45pm,,,,Contact program,8 Full-Day,8am-2:20pm,10009,40.723492,-73.976164,3,2,24,1077507,1003620001,Lower East Side                                                            
01MAXZ,Henry Street Settlement Day Care,"301 Henry Street, Manhattan NY 10002",Manhattan,1,NYCEEC,212-254-3100,Yulan Wu,ccarrozelli@henrystreet.org,henrystreet.org,Breakfast/Lunch/Snack(s),Indoor/Outdoor (Onsite) Playspace,May have income or other eligibility requirements. Contact for more information.,No,,Full-Day Program,,,01MAXZFDPK,,,x,,,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B39, M14A, M14D, M15-SBS, M21, M22, M9",F J M Z,,,,,8am,6pm,,,,Contact program,38 Full-Day,9am-3:20pm,10002,40.714054,-73.982797,3,1,202,1003737,1002880021,Lower East Side                                                            
01MAZS,"Educational Alliance, Inc. at P.S. 142","100 Attorney Street, Manhattan NY 10002",Manhattan,1,NYCEEC,212-780-5225,Maribel O'Connell,dana_friedman@edalliance.org,edalliance.org,Breakfast/Lunch/Snack(s),Indoor/Outdoor (Onsite) Playspace,May have income or other eligibility requirements. Contact for more information.,Contact program,,Full-Day Program,,,01MAZSFDPK,,,x,,,x,,,x,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B39, M14A, M14D, M15, M15-SBS, M21, M22, M9",B D F J M Z,,,,,,,,,Enhanced Language Support: Spanish,Contact program,20 Full-Day,Contact program,10002,40.718383,-73.984452,3,1,1402,1004080,1003430001,Lower East Side                                                            
01MBKU,CPC Little Star of Broome Street,"131 Broome Street, Manhattan NY 10002",Manhattan,1,NYCEEC,646-678-3847,Mary Cheng,mcheng@cpc-nyc.org,cpc-nyc.org/programs/earlychildhood/littlestar,Breakfast/Lunch/Snack(s),Outdoor (Onsite) Playspace,May have income or other eligibility requirements. Contact for more information.,No,,Full-Day Program,,,01MBKUFDPK,,,x,,,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B39, M14A, M14D, M15, M15-SBS, M21, M22, M9",B D F J M Z,,,,,8:30am,6pm,,,,Contact program,27 Full-Day,8:40am-3pm,10002,40.716214,-73.983976,3,1,12,1077598,1003410070,Lower East Side                                                            
02M001,P.S. 1 Alfred E. Smith,"8 Henry Street, Manhattan NY 10038",Manhattan,2,District School,212-267-4133,Cindy Lau,CLau@schools.nyc.gov,schools.nyc.gov/schoolportals/02/m001,Breakfast/Lunch/Snack(s),Indoor/Outdoor (Onsite) Playspace,,No,,Full-Day Program,Chinese Dual Language Program,,02M001FDPK,02M001FDPKCH,,,,,,,,,,,,,,,,,x,,,x,,,x,,,x,,,x,,,x,,,,,,,,,,,"BM1, BM2, BM3, BM4, BxM18, M103, M15, M15-SBS, M22, M5, M9, QM11, QM25, QM7, QM8, X1, X10, X11, X12, X14, X15, X17, X17A, X19, X2, X27, X28, X42, X5, X8",4 5 6 B D F J N Q R Z,,,,,,,,,,Not Accessible,54 Full-Day,8:15am-2:35pm,10038,40.71276,-73.997489,3,1,27,1003375,1002790040,Chinatown                                                                  
02M002,P.S. 2 Meyer London,"122 Henry Street, Manhattan NY 10002",Manhattan,2,District School,212-964-0350,Silvana Ng,SNg2@schools.nyc.gov,schools.nyc.gov/schoolportals/02/m002,Breakfast/Lunch,Outdoor (Onsite) Playspace,,Contact program,,Full-Day Program,,,02M002FDPK,,,,,,,,,,,,,,,,,,x,,,x,,,x,,,x,,,x,,,x,,,,,,,,,,,"B39, M103, M14A, M15, M15-SBS, M22, M9, X14, X2, X37, X38, X42, X5",B D F J M Z,,,,,,Contact program for time,,,,Not Accessible,54 Full-Day,Contact program,10002,40.713273,-73.991339,3,1,6,1003248,1002730001,Lower East Side                                                            
